Name,Texture Name,MaxTime,PlayRate
BowIdleLU,Bow,10,1
BowIdleRU,Bow,10,1
BowWalkR,Bow,0.5,1
BowWalkU,Bow,0.5,1
BowWalkL,Bow,0.5,1
BowWalkD,Bow,0.5,1
BowWalkRD,Bow,0.5,1
BowWalkLD,Bow,0.5,1
BowWalkLU,Bow,0.5,1
BowWalkRU,Bow,0.5,1
BowRollR,Bow,0.5,1
BowRollU,Bow,0.5,1
BowRollL,Bow,0.5,1
BowRollD,Bow,0.5,1
BowRollRD,Bow,0.5,1
BowRollLD,Bow,0.5,1
BowRollLU,Bow,0.5,1
BowRollRU,Bow,0.5,1
BowAttackR,Bow,1,1
BowAttackU,Bow,1,1
BowAttackL,Bow,1,1
BowAttackD,Bow,1,1
BowAttackRD,Bow,1,1
BowAttackLD,Bow,1,1
BowAttackLU,Bow,1,1
BowAttackRU,Bow,1,1
BowCallR,Bow,1,1
BowCallU,Bow,1,1
BowCallL,Bow,1,1
BowCallD,Bow,1,1
BowCallRD,Bow,1,1
BowCallLD,Bow,1,1
BowCallLU,Bow,1,1
BowCallRU,Bow,1,1
BowSwimR,Bow,2,1
BowSwimU,Bow,2,1
BowSwimL,Bow,2,1
BowSwimD,Bow,2,1
BowSwimRD,Bow,2,1
BowSwimLD,Bow,2,1
BowSwimLU,Bow,2,1
BowSwimRU,Bow,2,1
BowDieR,Bow,1,1
BowDieU,Bow,1,1
BowDieL,Bow,1,1
BowDieD,Bow,1,1
BowDieRD,Bow,1,1
BowDieLD,Bow,1,1
BowDieLU,Bow,1,1
BowDieRU,Bow,1,1
BowTurn,Bow,1,1
BowWhiteTurn,Bow,1,1
BowRanding,Bow,1,1
BowTurnIdle,Bow,1,1
BowRandingIdle,Bow,1,1
ArrowIdleR,Arrow,10,1
ArrowIdleU,Arrow,10,1
ArrowIdleL,Arrow,10,1
ArrowIdleD,Arrow,10,1
ArrowIdleRD,Arrow,10,1
ArrowIdleLD,Arrow,10,1
ArrowIdleLU,Arrow,10,1
ArrowIdleRU,Arrow,10,1
ArrowWalkR,Arrow,0.5,1
ArrowWalkU,Arrow,0.5,1
ArrowWalkL,Arrow,0.5,1
ArrowWalkD,Arrow,0.5,1
ArrowWalkRD,Arrow,0.5,1
ArrowWalkLD,Arrow,0.5,1
ArrowWalkLU,Arrow,0.5,1
ArrowWalkRU,Arrow,0.5,1
ArrowRollR,Arrow,0.5,1
ArrowRollU,Arrow,0.5,1
ArrowRollL,Arrow,0.5,1
ArrowRollD,Arrow,0.5,1
ArrowRollRD,Arrow,0.5,1
ArrowRollLD,Arrow,0.5,1
ArrowRollLU,Arrow,0.5,1
ArrowRollRU,Arrow,0.5,1
ArrowAttackR,Arrow,1,1
ArrowAttackU,Arrow,1,1
ArrowAttackL,Arrow,1,1
ArrowAttackD,Arrow,1,1
ArrowAttackRD,Arrow,1,1
ArrowAttackLD,Arrow,1,1
ArrowAttackLU,Arrow,1,1
ArrowAttackRU,Arrow,1,1
ArrowCallR,Arrow,1,1
ArrowCallU,Arrow,1,1
ArrowCallL,Arrow,1,1
ArrowCallD,Arrow,1,1
ArrowCallRD,Arrow,1,1
ArrowCallLD,Arrow,1,1
ArrowCallLU,Arrow,1,1
ArrowCallRU,Arrow,1,1
ArrowSwimR,Arrow,2,1
ArrowSwimU,Arrow,2,1
ArrowSwimL,Arrow,2,1
ArrowSwimD,Arrow,2,1
ArrowSwimRD,Arrow,2,1
ArrowSwimLD,Arrow,2,1
ArrowSwimLU,Arrow,2,1
ArrowSwimRU,Arrow,2,1
ArrowDieR,Arrow,1,1
ArrowDieU,Arrow,1,1
ArrowDieL,Arrow,1,1
ArrowDieD,Arrow,1,1
ArrowDieRD,Arrow,1,1
ArrowDieLD,Arrow,1,1
ArrowDieLU,Arrow,1,1
ArrowDieRU,Arrow,1,1
ArrowTurn,Arrow,1,1
ArrowWhiteTurn,Arrow,1,1
ArrowRanding,Arrow,1,1
ArrowTurnIdle,Arrow,1,1
ArrowRandingIdle,Arrow,1,1
Charge,Pro,0.3,1
ArrowShadow,Pro,1,1
Water,Pro,3,1
ColossusHeadSleep,colossus,1,1
ColossusHeadIdle,colossus,1,1
ColossusBodyIdle,colossus,1,1
ColossusHandIdle,colossus,1,1
ColossusHandDown,colossus,1,1
ColossusHandUp,colossus,1,1
ColossusHandDeffence,colossus,1,1
ColossusHandRock,colossus,1,1
ColossusHeadCry,colossus,5,1
ColossusShoulderLeft,colossus,1,1
ColossusShoulderRight,colossus,1,1
ColossusLight,colossus,1,1
ColossusHandDownShadow,colossus,1,1
ColossusHandUpShadow,colossus,1,1
ColossusHandDeffenceShadow,colossus,1,1
ColossusHandRockShadow,colossus,1,1
ColossusHeadStop,colossus,1,1
BossEffect1,Pro,5,1
BossEffect2,Pro,5,1
BossEffect3,Pro,5,1
BossEffect4,Pro,5,1
BossEffect5,Pro,5,1
BossEffect6,Pro,5,1
BossEffect7,Pro,5,1
EyeClose,eyecube,1,1
EyeClosed,eyecube,1,1
EyeOpening1,eyecube,1,1
EyeOpening2,eyecube,1,1
EyeIdle,eyecube,1,1
EyeLight,eyecube,1,1
EyeAttack,eyecube,1,1
EyeLightFix,eyecube,1,1
BrainIdle,brain,1,1
BrainL,brain,1,1
BrainU,brain,1,1
BrainR,brain,1,1
BrainD,brain,1,1
BrainLU,brain,1,1
BrainRU,brain,1,1
BrainRD,brain,1,1
BrainLD,brain,1,1
BrainLightL,brain,1,1
BrainLightU,brain,1,1
BrainLightR,brain,1,1
BrainLightD,brain,1,1
BrainLightLU,brain,1,1
BrainLightRU,brain,1,1
BrainLightRD,brain,1,1
BrainLightLD,brain,1,1
FireButton,brain,1,1
FireButtonPush,brain,1,1
BrainShadow,brain,1,1
BrainFlyU,brain,1,1
BrainFlyD,brain,1,1
BrainFlyL,brain,1,1
BrainFlyR,brain,1,1
FireBig,brain,1,1
FireLight,brain,1,1
ArrowFire,Pro,1,1
DoorGradient,Pro,1,1
BossCircle,Pro,1,1
MegaDoorL,jam,1,1
MegaDoorR,jam,1,1
MegaDoorLight,jam,1,1
Return,Pro,1,1
ReturnOn,Pro,1,1
Option,Pro,1,1
OptionOn,Pro,1,1
Exit,Pro,1,1
ExitOn,Pro,1,1
